n_HD	HD	DM	GC	HR	HIP	RAJ2000	DEJ2000	Vmag	Fl	Bayer	Cst	Simbad
 	 34658	BD+02   916 	 6509	1746	 24817	05 19 11.23	+02 35 45.4	 5.34	 21	     	Ori	Simbad
 	 34759	BD+41  1162 	 6556	1749	 25048	05 21 48.41	+41 48 16.8	 5.22	 20	rho  	Aur	Simbad
 	 34787	BD+57   879 	 6578	1751	 25197	05 23 27.83	+57 32 40.3	 5.24	 16	     	Cam	Simbad
 	 34816	BD-13  1127 	 6531	1756	 24845	05 19 34.53	-13 10 36.4	 4.29	  6	lam  	Lep	Simbad
 	 34863	BD-12  1132 	 6538	1757	 24873	05 19 59.03	-12 18 56.2	 5.29	  7	nu.  	Lep	Simbad
 	 35039	BD-00   930 	 6579	1765	 25044	05 21 45.75	-00 22 56.9	 4.72	 22	o    	Ori	Simbad
 	 35072	CD-50  1723 	 6553	1767	 24829	05 19 22.11	-50 36 23.5	 5.44	   	zet  	Pic	Simbad
 	 35076	BD+28   788 	 6609	1768	 25192	05 23 22.86	+28 56 12.6	 6.45	 22	     	Aur	Simbad
 	 35148	BD+03   872 	 6610	    	 25145	05 22 51.06	+03 33 08.1	 7.12	 23	m    	Ori	Simbad
M	 35149	BD+03   871 	 6607	1770	 25142	05 22 50.00	+03 32 40.0	 4.99	 23	m    	Ori	Simbad
 	 35186	BD+37  1175 	 6636	1773	 25292	05 24 39.14	+37 23 07.4	 5.02	 21	sig  	Aur	Simbad
 	 35189	BD+16   765 	 6623	1774	 25216	05 23 37.72	+16 41 57.7	 6.09	110	     	Tau	Simbad
 	 35296	BD+17   920 	 6645	1780	 25278	05 24 25.31	+17 23 00.8	 5.00	111	     	Tau	Simbad
 	 35337	BD-14  1119 	 6635	1783	 25202	05 23 30.16	-13 55 38.5	 5.25	  8	     	Lep	Simbad
 	 35369	BD-07  1064 	 6646	1784	 25247	05 23 56.84	-07 48 28.6	 4.13	 29	e    	Ori	Simbad
 	 35410	BD-01   886 	 6654	1787	 25282	05 24 28.91	-00 53 30.0	 5.07	 27	p    	Ori	Simbad
 	 35411	BD-02  1235 	 6655	1788	 25281	05 24 28.62	-02 23 49.7	 3.35	 28	eta  	Ori	Simbad
X	 35439	BD+01  1005 	 6660	1789	 25302	05 24 44.83	+01 50 47.2	 4.89	 25	     	Ori	Simbad
X	 35439	BD+01  1005 	 6660	1789	 25302	05 24 44.83	+01 50 47.2	 4.89	 25	psi01	Ori	Simbad
M	 35468	BD+06   919 	 6668	1790	 25336	05 25 07.87	+06 20 59.0	 1.64	 24	gam  	Ori	Simbad
X	 35497	BD+28   795 	 6681	1791	 25428	05 26 17.50	+28 36 28.3	 1.65	112	bet  	Tau	Simbad
X	 35497	BD+28   795 	 6681	1791	 25428	05 26 17.50	+28 36 28.3	 1.65	   	gam  	Aur	Simbad
 	 35532	BD+16   775 	 6683	1798	 25410	05 26 05.72	+16 42 00.6	 6.23	113	     	Tau	Simbad
 	 35580	CP-56   840 	 6644	1801	 25098	05 22 22.15	-56 08 04.0	 6.10	   	kap  	Pic	Simbad
 	 35583	BD+62   759 	 6744	1802	 25769	05 30 10.21	+63 04 02.0	 5.43	 17	     	Cam	Simbad
X	 35620	BD+34  1048 	 6715	1805	 25541	05 27 38.89	+34 28 33.6	 5.08	 24	phi  	Aur	Simbad
X	 35620	BD+34  1048 	 6715	1805	 25541	05 27 38.89	+34 28 33.6	 5.08	 24	psi  	Aur	Simbad
 	 35671	BD+17   928 	 6714	1808	 25499	05 27 10.09	+17 57 44.2	 5.40	115	     	Tau	Simbad
 	 35708	BD+21   847 	 6723	1810	 25539	05 27 38.08	+21 56 13.1	 4.88	114	o    	Tau	Simbad
X	 35715	BD+02   962 	 6713	1811	 25473	05 26 50.23	+03 05 44.4	 4.59	 30	psi  	Ori	Simbad
X	 35715	BD+02   962 	 6713	1811	 25473	05 26 50.23	+03 05 44.4	 4.59	 30	psi02	Ori	Simbad
 	 35770	BD+15   826 	 6729	1814	 25555	05 27 45.61	+15 52 26.8	 5.52	116	     	Tau	Simbad
 	 35802	BD+17   931 	 6733	1816	 25583	05 28 01.60	+17 14 21.3	 5.77	117	     	Tau	Simbad
 	 35860	CP-52   718 	 6695	1818	 25303	05 24 46.29	-52 18 58.2	 6.26	   	the  	Pic	Simbad
 	 35943	BD+25   839 	 6764	1821	 25695	05 29 16.49	+25 09 01.1	 5.47	118	     	Tau	Simbad
 	 36066	BD+57   889 	 6814	1828	 25973	05 32 33.68	+57 13 17.8	 6.44	 18	     	Cam	Simbad
M	 36079	BD-20  1096 	 6762	1829	 25606	05 28 14.73	-20 45 33.2	 2.81	  9	bet  	Lep	Simbad
X	 36167	BD-01   913 	 6792	1834	 25737	05 29 43.98	-01 05 31.8	 4.71	 31	     	Ori	Simbad
X	 36167	BD-01   913 	 6792	1834	 25737	05 29 43.98	-01 05 31.8	 4.71	 31	CI   	Ori	Simbad
 	 36189	CP-59   472 	 6749	1836	 25429	05 26 19.28	-58 54 45.4	 5.14	   	lam  	Dor	Simbad
 	 36217	BD+04   949 	 6806	1837	 25785	05 30 19.91	+04 12 17.5	 6.21	   	CK   	Ori	Simbad
M	 36267	BD+05   939 	 6813	1839	 25813	05 30 47.05	+05 56 53.6	 4.20	 32	A    	Ori	Simbad
 	 36351	BD+03   948 	 6823	1842	 25861	05 31 14.53	+03 17 31.7	 5.46	 33	n01  	Ori	Simbad
 	 36371	BD+32  1024 	 6849	1843	 25984	05 32 43.67	+32 11 31.3	 4.71	 25	chi  	Aur	Simbad
M	 36389	BD+18   875 	 6841	1845	 25945	05 32 12.75	+18 35 39.3	 4.32	119	CE   	Tau	Simbad
 	 36473	BD-20  1105 	 6837	1849	 25853	05 31 07.62	-20 51 48.8	 5.53	 10	     	Lep	Simbad
X	 36485	BD-00   982 	 6848	1851	      	05 32 00.50	-00 17 04.0	 6.85	 34	del  	Ori	Simbad
X	 36485	BD-00   982 	 6848	1851	      	05 32 00.50	-00 17 04.0	 6.85	 34	del02	Ori	Simbad
X	 36486	BD-00   983 	 6847	1852	 25930	05 32 00.40	-00 17 56.7	 2.25	 34	del  	Ori	Simbad
X	 36486	BD-00   983 	 6847	1852	 25930	05 32 00.40	-00 17 56.7	 2.25	 34	del01	Ori	Simbad
M	 36512	BD-07  1106 	 6850	1855	 25923	05 31 55.86	-07 18 05.5	 4.62	 36	ups  	Ori	Simbad
 	 36570	BD+64   536 	 6917	1857	 26408	05 37 15.07	+64 09 17.5	 6.15	 19	     	Cam	Simbad
 	 36576	BD+18   877 	 6879	1858	 26064	05 33 31.63	+18 32 24.8	 5.67	120	     	Tau	Simbad
 	 36597	CD-35  2348 	 6846	1862	 25859	05 31 12.74	-35 28 13.6	 3.86	   	eps  	Col	Simbad
 	 36653	BD+14   947 	 6886	1864	 26093	05 33 54.29	+14 18 20.1	 5.60	 35	     	Ori	Simbad
M	 36673	BD-17  1166 	 6875	1865	 25985	05 32 43.81	-17 49 20.3	 2.58	 11	alf  	Lep	Simbad
 	 36695	BD-01   943 	 6884	1868	 26063	05 33 31.45	-01 09 21.9	 5.36	   	VV   	Ori	Simbad
 	 36777	BD+03   964 	 6896	1872	 26126	05 34 16.79	+03 46 01.0	 5.32	 38	n02  	Ori	Simbad
 	 36819	BD+23   954 	 6916	1875	 26248	05 35 27.12	+24 02 22.7	 5.37	121	     	Tau	Simbad
 	 36822	BD+09   877 	 6907	1876	 26176	05 34 49.24	+09 29 22.5	 4.39	 37	phi01	Ori	Simbad
X	 36861	BD+09   879A	 6915	1879	 26207	05 35 08.28	+09 56 03.0	 3.39	 39	lam  	Ori	Simbad
X	 36861	BD+09   879A	 6915	1879	 26207	05 35 08.28	+09 56 03.0	 3.39	 39	lam01	Ori	Simbad
X	 36862	BD+09   879B	     	1880	      	05 35 08.50	+09 56 06.0	 5.61	 39	lam  	Ori	Simbad
X	 36862	BD+09   879B	     	1880	      	05 35 08.50	+09 56 06.0	 5.61	 39	lam02	Ori	Simbad
 	 37018	BD-04  1185 	 6934	1892	 26237	05 35 23.16	-04 50 18.0	 4.58	 42	c    	Ori	Simbad
X	 37020	BD-05  1315 	     	1893	 26220	05 35 15.82	-05 23 14.3	 4.98	 41	the01	Ori	Simbad
X	 37020	BD-05  1315 	     	1893	 26220	05 35 15.82	-05 23 14.3	 4.98	   	the  	Ori	Simbad
 	 37021	BD-05  1315B	     	1894	      	05 35 16.10	-05 23 07.0	 7.96	 41	the01	Ori	Simbad
 	 37022	BD-05  1315C	 6931	1895	 26221	05 35 16.47	-05 23 22.9	 5.13	 41	the01	Ori	Simbad
 	 37023	BD-05  1315 	     	1896	 26224	05 35 17.20	-05 23 15.7	 6.71	 41	the01	Ori	Simbad
 	 37041	BD-05  1319 	 6935	1897	 26235	05 35 22.90	-05 24 57.8	 4.98	 43	the02	Ori	Simbad
M	 37043	BD-06  1241 	 6937	1899	 26241	05 35 25.98	-05 54 35.6	 2.75	 44	iot  	Ori	Simbad
 	 37070	BD+56  1044 	 6990	    	 26587	05 39 05.43	+56 21 36.4	 7.17	 22	     	Cam	Simbad
 	 37077	BD-04  1188 	 6945	1901	 26268	05 35 39.49	-04 51 21.9	 5.24	 45	     	Ori	Simbad
M	 37128	BD-01   969 	 6960	1903	 26311	05 36 12.81	-01 12 06.9	 1.69	 46	eps  	Ori	Simbad
 	 37147	BD+16   822 	 6973	1905	 26382	05 37 03.71	+17 02 25.5	 5.53	122	     	Tau	Simbad
 	 37160	BD+09   898 	 6972	1907	 26366	05 36 54.33	+09 17 29.1	 4.09	 40	phi02	Ori	Simbad
 	 37202	BD+21   908 	 6985	1910	 26451	05 37 38.68	+21 08 33.3	 2.97	123	zet  	Tau	Simbad
 	 37269	BD+30   963 	 7002	1914	 26536	05 38 38.10	+30 29 32.8	 5.40	 26	     	Aur	Simbad
X	 37297	CP-64   456 	 6927	1917	 26001	05 32 59.52	-64 13 39.1	 5.34	 28	     	Dor	Simbad
X	 37297	CP-64   456 	 6927	1917	 26001	05 32 59.52	-64 13 39.1	 5.34	   	G    	Dor	Simbad
 	 37350	CP-62   487 	 6944	1922	 26069	05 33 37.52	-62 29 23.5	 3.76	   	bet  	Dor	Simbad
 	 37430	CD-27  2389 	 6999	1926	 26412	05 37 16.49	-27 52 16.3	 6.15	   	nu.01	Col	Simbad
 	 37438	BD+25   902 	 7047	1928	 26640	05 39 44.19	+25 53 49.7	 5.18	125	     	Tau	Simbad
 	 37468	BD-02  1326 	 7031	1931	 26549	05 38 44.77	-02 36 00.2	 3.77	 48	sig  	Ori	Simbad
 	 37479	BD-02  1327 	 7034	1932	      	05 38 47.10	-02 35 39.0	 6.65	 48	sig  	Ori	Simbad
 	 37490	BD+04  1002 	 7042	1934	 26594	05 39 11.15	+04 07 17.3	 4.50	 47	ome  	Ori	Simbad
 	 37495	CD-28  2321 	 7013	1935	 26460	05 37 44.64	-28 41 23.3	 5.28	   	nu.02	Col	Simbad
 	 37507	BD-07  1142 	 7039	1937	 26563	05 38 53.09	-07 12 45.8	 4.77	 49	d    	Ori	Simbad
 	 37601	BD+56  1050 	 7105	1941	 26942	05 43 01.66	+56 34 53.2	 6.05	 24	     	Cam	Simbad
 	 37638	BD+61   816 	 7124	1943	 27046	05 44 08.46	+61 28 35.5	 6.17	 23	     	Cam	Simbad
 	 37711	BD+16   841 	 7094	1946	 26777	05 41 17.72	+16 32 03.1	 4.84	126	     	Tau	Simbad
X	 37742	BD-02  1338A	 7089	1948	 26727	05 40 45.52	-01 56 33.3	 1.74	 50	zet  	Ori	Simbad
X	 37742	BD-02  1338A	 7089	1948	 26727	05 40 45.52	-01 56 33.3	 1.74	 50	zet01	Ori	Simbad
 	 37743	BD-02  1338B	     	1949	      	05 40 45.60	-01 56 34.0	 4.21	 50	zet  	Ori	Simbad
 	 37763	CP-76   333 	 6966	1953	 25918	05 31 52.66	-76 20 30.0	 5.18	   	gam  	Men	Simbad
M	 37795	CD-34  2375 	 7078	1956	 26634	05 39 38.94	-34 04 26.6	 2.65	   	alf  	Col	Simbad
 	 37984	BD+01  1105 	 7136	1963	 26885	05 42 28.66	+01 28 28.8	 4.90	 51	b    	Ori	Simbad
 	 38090	BD-22  1194 	 7141	1968	 26865	05 42 13.96	-22 22 25.5	 5.88	 12	     	Lep	Simbad
 	 38091	BD+56  1058 	 7191	1969	 27249	05 46 30.37	+56 06 56.6	 5.93	 26	     	Cam	Simbad
 	 38104	BD+49  1398 	 7182	1971	 27196	05 45 54.05	+49 49 34.6	 5.46	 27	omi  	Aur	Simbad
 	 38129	BD+56  1059 	 7201	    	 27283	05 46 54.60	+56 55 26.4	 6.79	 28	     	Cam	Simbad
 	 38392	BD-22  1210 	 7196	1982	      	05 44 26.50	-22 25 18.0	 6.15	 13	gam  	Lep	Simbad
 	 38393	BD-22  1211 	 7197	1983	 27072	05 44 27.97	-22 26 51.0	 3.59	 13	gam  	Lep	Simbad
 	 38478	BD+15   926 	 7224	1985	 27265	05 46 45.49	+15 49 21.0	 6.00	129	     	Tau	Simbad
 	 38545	BD+14  1025 	 7237	1989	 27316	05 47 13.15	+14 29 18.3	 5.72	131	     	Tau	Simbad
 	 38558	BD+17  1004 	 7241	1990	 27338	05 47 26.20	+17 43 44.9	 5.47	130	     	Tau	Simbad
 	 38602	CP-78   195 	 7102	1991	 26264	05 35 36.13	-78 49 15.2	 6.04	   	iot  	Men	Simbad
 	 38618	BD+56  1065 	 7293	1992	 27592	05 50 33.89	+56 55 08.2	 6.53	 29	     	Cam	Simbad
 	 38622	BD+13   979 	 7249	1993	 27364	05 47 42.90	+13 53 58.7	 5.28	133	     	Tau	Simbad
M	 38656	BD+39  1418 	 7277	1995	 27483	05 49 10.46	+39 10 52.1	 4.51	 29	tau  	Aur	Simbad
 	 38666	CD-32  2538 	 7230	1996	 27204	05 45 59.89	-32 18 23.0	 5.18	   	mu.  	Col	Simbad
 	 38678	BD-14  1232 	 7247	1998	 27288	05 46 57.35	-14 49 19.0	 3.55	 14	zet  	Lep	Simbad
 	 38710	BD+06  1027 	 7262	1999	 27386	05 48 00.23	+06 27 15.2	 5.26	 52	     	Ori	Simbad
 	 38751	BD+24   970 	 7283	2002	 27468	05 49 00.96	+24 34 03.2	 4.88	132	     	Tau	Simbad
M	 38771	BD-09  1235 	 7264	2004	 27366	05 47 45.39	-09 40 10.6	 2.07	 53	kap  	Ori	Simbad
 	 38831	BD+58   863 	 7327	2006	 27731	05 52 17.26	+58 57 50.9	 6.14	 30	     	Cam	Simbad
 	 38899	BD+12   912 	 7306	2010	 27511	05 49 32.94	+12 39 04.9	 4.89	134	     	Tau	Simbad
 	 38944	BD+37  1336 	 7322	2011	 27639	05 51 02.41	+37 18 20.5	 4.72	 31	ups  	Aur	Simbad
 	 39003	BD+39  1429 	 7334	2012	 27673	05 51 29.39	+39 08 54.5	 3.97	 32	nu.  	Aur	Simbad
 	 39014	CP-65   496 	 7246	2015	 27100	05 44 46.42	-65 44 07.9	 4.34	   	del  	Dor	Simbad
 	 39019	BD+14  1041 	 7323	2016	 27581	05 50 28.90	+14 18 20.5	 5.54	135	     	Tau	Simbad
 	 39060	CD-51  1620 	 7287	2020	 27321	05 47 17.08	-51 04 00.2	 3.85	   	bet  	Pic	Simbad
 	 39091	CP-80   161 	 7161	2022	 26394	05 37 08.79	-80 28 18.0	 5.65	   	pi.  	Men	Simbad
X	 39220	BD+59   920 	 7402	2027	 27971	05 54 57.83	+59 53 18.3	 5.20	 31	     	Cam	Simbad
X	 39220	BD+59   920 	 7402	2027	 27971	05 54 57.83	+59 53 18.3	 5.20	 31	TU   	Cam	Simbad
X	 39283	BD+55  1027 	 7404	2029	 27949	05 54 50.79	+55 42 24.9	 4.96	 30	ksi  	Aur	Simbad
X	 39283	BD+55  1027 	 7404	2029	 27949	05 54 50.79	+55 42 24.9	 4.96	 32	     	Cam	Simbad
 	 39291	BD-07  1187 	 7354	2031	 27658	05 51 21.98	-07 31 04.8	 5.36	 55	     	Ori	Simbad
 	 39317	BD+14  1060 	 7374	2033	 27743	05 52 22.30	+14 10 18.5	 5.60	137	     	Tau	Simbad
 	 39357	BD+27   899 	 7389	2034	 27830	05 53 19.64	+27 36 44.2	 4.56	136	     	Tau	Simbad
 	 39364	BD-20  1211 	 7362	2035	 27654	05 51 19.15	-20 52 39.0	 3.76	 15	del  	Lep	Simbad
 	 39400	BD+01  1151 	 7380	2037	 27750	05 52 26.44	+01 51 18.6	 4.76	 56	     	Ori	Simbad
M	 39425	CD-35  2546 	 7364	2040	 27628	05 50 57.55	-35 46 09.5	 3.12	   	bet  	Col	Simbad
 	 39523	CP-56   946 	 7353	2042	 27530	05 49 49.58	-56 09 59.4	 4.50	   	gam  	Pic	Simbad
M	 39587	BD+20  1162 	 7419	2047	 27913	05 54 23.08	+20 16 35.1	 4.39	 54	chi01	Ori	Simbad
 	 39698	BD+19  1126 	 7436	2052	 27965	05 54 56.69	+19 44 58.6	 5.92	 57	     	Ori	Simbad
 	 39764	CD-33  2599 	 7416	2056	 27810	05 53 06.88	-33 48 05.2	 4.88	   	lam  	Col	Simbad
 	 39780	CP-84    75 	 7134	2059	 25776	05 30 13.93	-84 47 06.8	 6.18	 31	     	Men	Simbad
M	 39801	BD+07  1055 	 7451	2061	 27989	05 55 10.29	+07 24 25.3	 0.45	 58	alf  	Ori	Simbad
 	 39810	CP-72   418 	 7351	2062	 27369	05 47 48.15	-72 42 08.3	 6.54	   	lam  	Men	Simbad
 	 39816	BD+20  1171 	 7457	2063	      	05 55 49.30	+20 10 30.0	 5.40	   	U    	Ori	Simbad
 	 39844	CP-66   463 	 7384	2064	 27534	05 49 53.55	-66 54 04.4	 5.10	   	eps  	Dor	Simbad
 	 40035	BD+54   970 	 7521	2077	 28358	05 59 31.55	+54 17 05.9	 3.72	 33	del  	Aur	Simbad
 	 40111	BD+25  1052 	 7507	2084	 28237	05 57 59.66	+25 57 14.1	 4.81	139	     	Tau	Simbad
 	 40136	BD-14  1286 	 7492	2085	 28103	05 56 24.32	-14 10 04.9	 3.71	 16	eta  	Lep	Simbad
 	 40176	CD-37  2487 	 7481	2087	 28010	05 55 29.89	-37 07 14.2	 4.97	   	ksi  	Col	Simbad
M	 40183	BD+44  1328 	 7543	2088	 28360	05 59 31.77	+44 56 50.8	 1.90	 34	bet  	Aur	Simbad
 	 40239	BD+45  1217 	 7554	2091	 28404	05 59 56.10	+45 56 12.3	 4.30	 35	pi.  	Aur	Simbad
 	 40248	CD-31  2848 	 7499	2092	 28098	05 56 20.94	-31 22 56.8	 5.52	   	sig  	Col	Simbad
 	 40312	BD+37  1380 	 7557	2095	 28380	05 59 43.24	+37 12 46.0	 2.65	 37	the  	Aur	Simbad
 	 40372	BD+01  1171 	 7539	2100	 28271	05 58 24.44	+01 50 13.7	 5.89	 59	     	Ori	Simbad
 	 40394	BD+47  1227 	 7580	2101	 28499	06 00 58.56	+47 54 07.1	 5.71	 36	     	Aur	Simbad
 	 40409	CP-63   498 	 7477	2102	 27890	05 54 05.90	-63 05 27.7	 4.65	 36	     	Dor	Simbad
 	 40446	BD+00  1239 	 7556	2103	 28296	05 58 49.58	+00 33 10.7	 5.21	 60	     	Ori	Simbad
 	 40494	CD-35  2612 	 7536	2106	 28199	05 57 32.21	-35 16 59.9	 4.36	   	gam  	Col	Simbad
 	 40535	BD-09  1284 	 7560	2107	 28321	05 59 01.07	-09 22 56.1	 6.15	  1	     	Mon	Simbad
 	 40536	BD-09  1285 	 7565	2108	 28325	05 59 04.31	-09 33 29.3	 5.04	  2	     	Mon	Simbad
 	 40724	BD+22  1140 	 7610	2116	 28561	06 01 41.63	+22 24 03.8	 6.36	141	     	Tau	Simbad
 	 40801	BD+42  1473 	 7641	2119	 28677	06 03 17.87	+42 54 42.8	 6.08	 38	     	Aur	Simbad
 	 40808	CD-42  2266 	 7591	2120	 28328	05 59 08.79	-42 48 54.4	 3.96	   	eta  	Col	Simbad
 	 40873	BD+51  1146 	 7663	2123	 28765	06 04 29.11	+51 34 24.6	 6.39	 35	     	Cam	Simbad
 	 40932	BD+09  1064 	 7635	2124	 28614	06 02 22.99	+09 38 50.5	 4.12	 61	mu.  	Ori	Simbad
 	 40953	CP-79   202 	 7476	2125	 27566	05 50 16.80	-79 21 41.5	 5.46	   	kap  	Men	Simbad
 	 40967	BD-10  1349 	 7631	2128	 28574	06 01 50.43	-10 35 52.6	 4.92	  3	     	Mon	Simbad
 	 41040	BD+19  1186 	 7662	2130	 28691	06 03 27.36	+19 41 26.2	 5.14	 64	     	Ori	Simbad
 	 41074	BD+42  1477 	 7685	2132	 28823	06 05 03.42	+42 58 55.1	 5.90	 39	     	Aur	Simbad
M	 41116	BD+23  1170 	 7676	2134	 28734	06 04 07.22	+23 15 49.1	 4.16	  1	     	Gem	Simbad
 	 41117	BD+20  1233 	 7675	2135	 28716	06 03 55.18	+20 08 18.5	 4.64	 62	chi02	Ori	Simbad
 	 41357	BD+38  1377 	 7723	2143	 28946	06 06 35.09	+38 28 58.0	 5.35	 40	     	Aur	Simbad
 	 41361	BD+05  1085 	 7702	2144	 28812	06 04 58.19	+05 25 11.9	 5.67	 63	     	Ori	Simbad
 	 41380	BD+04  1116 	 7704	2145	 28814	06 04 58.36	+04 09 31.2	 5.63	 66	     	Ori	Simbad
 	 41511	BD-16  1349 	 7711	2148	 28816	06 04 59.13	-16 29 03.9	 4.92	 17	     	Lep	Simbad
 	 41534	CD-32  2743 	 7708	2149	 28756	06 04 20.28	-32 10 21.8	 5.65	 72	     	Col	Simbad
 	 41543	BD+23  1192 	 7739	    	 28969	06 06 48.66	+23 38 19.0	 6.67	  2	     	Gem	Simbad
 	 41597	BD+58   897 	 7796	2152	 29246	06 09 58.99	+58 56 08.3	 5.35	 37	     	Cam	Simbad
 	 41695	BD-14  1331 	 7742	2155	 28910	06 06 09.33	-14 56 07.0	 4.67	 18	the  	Lep	Simbad
 	 41698	CD-24  3679 	 7737	2156	 28874	06 05 45.54	-24 11 43.9	 6.74	   	S    	Lep	Simbad
 	 41753	BD+14  1152 	 7772	2159	 29038	06 07 34.32	+14 46 06.7	 4.42	 67	nu.  	Ori	Simbad
 	 41927	BD+65   517 	 7856	2165	 29490	06 12 51.05	+65 43 06.6	 5.36	 36	     	Cam	Simbad
 	 42042	BD-19  1361 	 7794	2168	 29048	06 07 41.63	-19 09 57.6	 5.28	 19	     	Lep	Simbad
 	 42078	CD-42  2343 	 7785	2171	 28957	06 06 41.07	-42 17 55.7	 6.15	   	pi.01	Col	Simbad
 	 42087	BD+23  1226 	 7827	2173	 29225	06 09 43.99	+23 06 48.5	 5.75	  3	     	Gem	Simbad
 	 42126	BD+48  1352B	 7851	2175	 29388	06 11 36.50	+48 42 47.0	 6.82	 41	     	Aur	Simbad
 	 42127	BD+48  1352A	 7853	2176	      	06 11 36.60	+48 42 40.0	 6.09	 41	     	Aur	Simbad
 	 42167	CD-37  2609 	 7805	2177	 29034	06 07 31.63	-37 15 10.5	 5.00	   	the  	Col	Simbad
 	 42216	BD+23  1232 	 7844	    	 29288	06 10 29.94	+22 59 52.4	 6.88	  4	     	Gem	Simbad
 	 42303	CD-42  2351 	 7816	2181	 29064	06 07 52.87	-42 09 14.4	 5.50	   	pi.02	Col	Simbad
 	 42398	BD+24  1151 	 7872	2185	 29379	06 11 32.31	+24 25 13.4	 5.83	  5	     	Gem	Simbad
 	 42509	BD+19  1253 	 7887	2193	 29433	06 12 01.34	+19 47 26.1	 5.76	 68	     	Ori	Simbad
 	 42525	CP-66   493 	 7813	2194	 28909	06 06 09.36	-66 02 22.9	 5.72	   	eta01	Dor	Simbad
M	 42543	BD+22  1220 	 7896	2197	 29450	06 12 19.10	+22 54 30.7	 6.51	  6	BU   	Gem	Simbad
 	 42545	BD+16  1035 	 7891	2198	 29434	06 12 03.28	+16 07 49.6	 4.95	 69	f01  	Ori	Simbad
 	 42560	BD+14  1187 	 7889	2199	 29426	06 11 56.40	+14 12 31.7	 4.45	 70	ksi  	Ori	Simbad
 	 42633	BD+60   938 	 7949	2201	 29730	06 15 40.51	+59 59 56.5	 5.37	 40	     	Cam	Simbad
 	 42933	CP-54   980 	 7898	2212	 29276	06 10 17.91	-54 58 07.2	 4.72	   	del  	Pic	Simbad
 	 42973	BD+61   869 	 8016	2215	 29919	06 17 54.83	+61 30 55.1	 5.01	  1	     	Lyn	Simbad
M	 42995	BD+22  1241 	 7969	2216	 29655	06 14 52.70	+22 30 24.6	 3.31	  7	eta  	Gem	Simbad
 	 43039	BD+29  1154 	 7981	2219	 29696	06 15 22.74	+29 29 55.4	 4.32	 44	kap  	Aur	Simbad
 	 43042	BD+19  1270 	 7971	2220	 29650	06 14 50.94	+19 09 24.8	 5.20	 71	     	Ori	Simbad
 	 43107	CP-68   474 	 7886	2221	 29134	06 08 44.34	-68 50 36.4	 5.06	   	nu.  	Dor	Simbad
 	 43153	BD+16  1060 	 7987	2223	 29704	06 15 25.13	+16 08 35.5	 5.34	 72	f02  	Ori	Simbad
X	 43232	BD-06  1469 	 7986	2227	 29651	06 14 51.34	-06 16 29.0	 3.99	  5	gam  	Mon	Simbad
X	 43232	BD-06  1469 	 7986	2227	 29651	06 14 51.34	-06 16 29.0	 3.99	   	alf  	Mon	Simbad
 	 43244	BD+46  1122 	 8037	2228	 29884	06 17 34.68	+46 25 26.1	 6.53	 42	     	Aur	Simbad
 	 43247	BD+12  1081 	 7996	2229	 29736	06 15 44.97	+12 33 03.9	 5.44	 73	     	Ori	Simbad
 	 43261	BD+24  1182 	 8015	2230	 29789	06 16 19.05	+23 58 12.2	 6.09	  8	     	Gem	Simbad
 	 43378	BD+59   959 	 8068	2238	 30060	06 19 37.39	+59 00 39.3	 4.44	  2	     	Lyn	Simbad
 	 43380	BD+46  1124 	 8055	2239	 29949	06 18 16.86	+46 21 38.7	 6.33	 43	     	Aur	Simbad
 	 43384	BD+23  1275 	 8039	2240	 29840	06 16 58.71	+23 44 27.3	 6.24	  9	     	Gem	Simbad
 	 43386	BD+12  1084 	 8033	2241	 29800	06 16 26.57	+12 16 18.2	 5.04	 74	k    	Ori	Simbad
 	 43455	CP-65   561 	 7946	2245	 29353	06 11 15.02	-65 35 22.9	 5.01	   	eta02	Dor	Simbad
 	 43525	BD+09  1173 	 8051	2247	 29850	06 17 06.62	+09 56 33.1	 5.39	 75	l    	Ori	Simbad
 	 43740	BD+23  1293 	 8092	    	 30003	06 18 54.43	+23 36 11.9	 6.58	 10	     	Gem	Simbad
 	 43749	BD+61   878 	 8140	    	 30278	06 22 08.09	+61 45 35.5	 7.33	  3	     	Lyn	Simbad
 	 43760	BD-10  1455 	 8070	2255	 29885	06 17 35.13	-10 43 30.0	 6.76	  6	     	Mon	Simbad
 	 43785	CD-35  2800 	 8062	2256	 29807	06 16 33.14	-35 08 26.6	 4.37	   	kap  	Col	Simbad
 	 43812	BD+59   964 	 8147	2257	 30272	06 22 03.56	+59 22 19.6	 6.05	  4	     	Lyn	Simbad
 	 43818	BD+23  1300 	 8104	    	 30046	06 19 19.30	+23 28 09.9	 6.91	 11	     	Gem	Simbad
 	 43834	CP-74   374 	 7962	2261	 29271	06 10 14.20	-74 45 09.1	 5.08	   	alf  	Men	Simbad
 	 43836	BD+23  1301 	 8106	    	 30049	06 19 22.52	+23 16 28.2	 6.95	 12	     	Gem	Simbad
 	 43905	BD+53  1008 	 8151	2264	 30247	06 21 46.11	+53 27 08.6	 5.34	 45	     	Aur	Simbad
 	 44112	BD-07  1373 	 8132	2273	 30073	06 19 42.80	-07 49 22.5	 5.27	  7	     	Mon	Simbad
M	 44402	CD-30  3038 	 8170	2282	 30122	06 20 18.79	-30 03 48.2	 3.02	  1	zet  	CMa	Simbad
